% Mineral-specific absorption coefficient in the range 380 to 2280 nm 
% Wavelength and mineral-specific absorption coefficient
% Martin Hieronymi, HZG, 2015
% Data based on the Hydrolight astarmin_average.txt
% These values are the average of the calcareous sand, red clay, yellow clay, and brown earth spectra
% Adapted to measurements of Roettgers et al. from North Sea and Baltic Sea
% Extrapolated to 2280 nm
% Wavelength Absorption
% wl   	 a_m_star
% [nm] 	 [m^2/g] 
1000.0 	 0.0035300
1002.5 	 0.0034550
1005.0 	 0.0033800
1007.5 	 0.0033050
1010.0 	 0.0032300
1012.5 	 0.0031550
1015.0 	 0.0030800
1017.5 	 0.0030050
1020.0 	 0.0029300
1022.5 	 0.0028550
1025.0 	 0.0027800
1027.5 	 0.0027050
1030.0 	 0.0026300
1032.5 	 0.0025550
1035.0 	 0.0024800
1037.5 	 0.0024050
1040.0 	 0.0023300
1042.5 	 0.0022550
1045.0 	 0.0021800
1047.5 	 0.0021050
1050.0 	 0.0020300
1052.5 	 0.0019550
1055.0 	 0.0018800
1057.5 	 0.0018050
1060.0 	 0.0017300
1062.5 	 0.0016550
1065.0 	 0.0015800
1067.5 	 0.0015050
1070.0 	 0.0014300
1072.5 	 0.0013550
1075.0 	 0.0012800
1077.5 	 0.0012050
1080.0 	 0.0011300
1082.5 	 0.0010550
1085.0 	 0.0009800
1087.5 	 0.0009050
1090.0 	 0.0008300
1092.5 	 0.0007550
1095.0 	 0.0006800
1097.5 	 0.0006050
1100.0 	 0.0005300
1102.5 	 0.0004550
1105.0 	 0.0003800
1107.5 	 0.0003050
1110.0 	 0.0002300
1112.5 	 0.0001550
1115.0 	 0.0000800
1117.5 	 0.0000050
1120.0 	 0.0000000
1122.5 	 0.0000000
1125.0 	 0.0000000
1127.5 	 0.0000000
1130.0 	 0.0000000
1132.5 	 0.0000000
1135.0 	 0.0000000
1137.5 	 0.0000000
1140.0 	 0.0000000
1142.5 	 0.0000000
1145.0 	 0.0000000
1147.5 	 0.0000000
1150.0 	 0.0000000
1152.5 	 0.0000000
1155.0 	 0.0000000
1157.5 	 0.0000000
1160.0 	 0.0000000
1162.5 	 0.0000000
1165.0 	 0.0000000
1167.5 	 0.0000000
1170.0 	 0.0000000
1172.5 	 0.0000000
1175.0 	 0.0000000
1177.5 	 0.0000000
1180.0 	 0.0000000
1182.5 	 0.0000000
1185.0 	 0.0000000
1187.5 	 0.0000000
1190.0 	 0.0000000
1192.5 	 0.0000000
1195.0 	 0.0000000
1197.5 	 0.0000000
1200.0 	 0.0000000
1202.5 	 0.0000000
1205.0 	 0.0000000
1207.5 	 0.0000000
1210.0 	 0.0000000
1212.5 	 0.0000000
1215.0 	 0.0000000
1217.5 	 0.0000000
1220.0 	 0.0000000
1222.5 	 0.0000000
1225.0 	 0.0000000
1227.5 	 0.0000000
1230.0 	 0.0000000
1232.5 	 0.0000000
1235.0 	 0.0000000
1237.5 	 0.0000000
1240.0 	 0.0000000
1242.5 	 0.0000000
1245.0 	 0.0000000
1247.5 	 0.0000000
1250.0 	 0.0000000
1252.5 	 0.0000000
1255.0 	 0.0000000
1257.5 	 0.0000000
1260.0 	 0.0000000
1262.5 	 0.0000000
1265.0 	 0.0000000
1267.5 	 0.0000000
1270.0 	 0.0000000
1272.5 	 0.0000000
1275.0 	 0.0000000
1277.5 	 0.0000000
1280.0 	 0.0000000
1282.5 	 0.0000000
1285.0 	 0.0000000
1287.5 	 0.0000000
1290.0 	 0.0000000
1292.5 	 0.0000000
1295.0 	 0.0000000
1297.5 	 0.0000000
1300.0 	 0.0000000
1302.5 	 0.0000000
1305.0 	 0.0000000
1307.5 	 0.0000000
1310.0 	 0.0000000
1312.5 	 0.0000000
1315.0 	 0.0000000
1317.5 	 0.0000000
1320.0 	 0.0000000
1322.5 	 0.0000000
1325.0 	 0.0000000
1327.5 	 0.0000000
1330.0 	 0.0000000
1332.5 	 0.0000000
1335.0 	 0.0000000
1337.5 	 0.0000000
1340.0 	 0.0000000
1342.5 	 0.0000000
1345.0 	 0.0000000
1347.5 	 0.0000000
1350.0 	 0.0000000
1352.5 	 0.0000000
1355.0 	 0.0000000
1357.5 	 0.0000000
1360.0 	 0.0000000
1362.5 	 0.0000000
1365.0 	 0.0000000
1367.5 	 0.0000000
1370.0 	 0.0000000
1372.5 	 0.0000000
1375.0 	 0.0000000
1377.5 	 0.0000000
1380.0 	 0.0000000
1382.5 	 0.0000000
1385.0 	 0.0000000
1387.5 	 0.0000000
1390.0 	 0.0000000
1392.5 	 0.0000000
1395.0 	 0.0000000
1397.5 	 0.0000000
1400.0 	 0.0000000
1402.5 	 0.0000000
1405.0 	 0.0000000
1407.5 	 0.0000000
1410.0 	 0.0000000
1412.5 	 0.0000000
1415.0 	 0.0000000
1417.5 	 0.0000000
1420.0 	 0.0000000
1422.5 	 0.0000000
1425.0 	 0.0000000
1427.5 	 0.0000000
1430.0 	 0.0000000
1432.5 	 0.0000000
1435.0 	 0.0000000
1437.5 	 0.0000000
1440.0 	 0.0000000
1442.5 	 0.0000000
1445.0 	 0.0000000
1447.5 	 0.0000000
1450.0 	 0.0000000
1452.5 	 0.0000000
1455.0 	 0.0000000
1457.5 	 0.0000000
1460.0 	 0.0000000
1462.5 	 0.0000000
1465.0 	 0.0000000
1467.5 	 0.0000000
1470.0 	 0.0000000
1472.5 	 0.0000000
1475.0 	 0.0000000
1477.5 	 0.0000000
1480.0 	 0.0000000
1482.5 	 0.0000000
1485.0 	 0.0000000
1487.5 	 0.0000000
1490.0 	 0.0000000
1492.5 	 0.0000000
1495.0 	 0.0000000
1497.5 	 0.0000000
1500.0 	 0.0000000
1502.5 	 0.0000000
1505.0 	 0.0000000
1507.5 	 0.0000000
1510.0 	 0.0000000
1512.5 	 0.0000000
1515.0 	 0.0000000
1517.5 	 0.0000000
1520.0 	 0.0000000
1522.5 	 0.0000000
1525.0 	 0.0000000
1527.5 	 0.0000000
1530.0 	 0.0000000
1532.5 	 0.0000000
1535.0 	 0.0000000
1537.5 	 0.0000000
1540.0 	 0.0000000
1542.5 	 0.0000000
1545.0 	 0.0000000
1547.5 	 0.0000000
1550.0 	 0.0000000
1552.5 	 0.0000000
1555.0 	 0.0000000
1557.5 	 0.0000000
1560.0 	 0.0000000
1562.5 	 0.0000000
1565.0 	 0.0000000
1567.5 	 0.0000000
1570.0 	 0.0000000
1572.5 	 0.0000000
1575.0 	 0.0000000
1577.5 	 0.0000000
1580.0 	 0.0000000
1582.5 	 0.0000000
1585.0 	 0.0000000
1587.5 	 0.0000000
1590.0 	 0.0000000
1592.5 	 0.0000000
1595.0 	 0.0000000
1597.5 	 0.0000000
1600.0 	 0.0000000
1602.5 	 0.0000000
1605.0 	 0.0000000
1607.5 	 0.0000000
1610.0 	 0.0000000
1612.5 	 0.0000000
1615.0 	 0.0000000
1617.5 	 0.0000000
1620.0 	 0.0000000
1622.5 	 0.0000000
1625.0 	 0.0000000
1627.5 	 0.0000000
1630.0 	 0.0000000
1632.5 	 0.0000000
1635.0 	 0.0000000
1637.5 	 0.0000000
1640.0 	 0.0000000
1642.5 	 0.0000000
1645.0 	 0.0000000
1647.5 	 0.0000000
1650.0 	 0.0000000
1652.5 	 0.0000000
1655.0 	 0.0000000
1657.5 	 0.0000000
1660.0 	 0.0000000
1662.5 	 0.0000000
1665.0 	 0.0000000
1667.5 	 0.0000000
1670.0 	 0.0000000
1672.5 	 0.0000000
1675.0 	 0.0000000
1677.5 	 0.0000000
1680.0 	 0.0000000
1682.5 	 0.0000000
1685.0 	 0.0000000
1687.5 	 0.0000000
1690.0 	 0.0000000
1692.5 	 0.0000000
1695.0 	 0.0000000
1697.5 	 0.0000000
1700.0 	 0.0000000
1702.5 	 0.0000000
1705.0 	 0.0000000
1707.5 	 0.0000000
1710.0 	 0.0000000
1712.5 	 0.0000000
1715.0 	 0.0000000
1717.5 	 0.0000000
1720.0 	 0.0000000
1722.5 	 0.0000000
1725.0 	 0.0000000
1727.5 	 0.0000000
1730.0 	 0.0000000
1732.5 	 0.0000000
1735.0 	 0.0000000
1737.5 	 0.0000000
1740.0 	 0.0000000
1742.5 	 0.0000000
1745.0 	 0.0000000
1747.5 	 0.0000000
1750.0 	 0.0000000
1752.5 	 0.0000000
1755.0 	 0.0000000
1757.5 	 0.0000000
1760.0 	 0.0000000
1762.5 	 0.0000000
1765.0 	 0.0000000
1767.5 	 0.0000000
1770.0 	 0.0000000
1772.5 	 0.0000000
1775.0 	 0.0000000
1777.5 	 0.0000000
1780.0 	 0.0000000
1782.5 	 0.0000000
1785.0 	 0.0000000
1787.5 	 0.0000000
1790.0 	 0.0000000
1792.5 	 0.0000000
1795.0 	 0.0000000
1797.5 	 0.0000000
1800.0 	 0.0000000
1802.5 	 0.0000000
1805.0 	 0.0000000
1807.5 	 0.0000000
1810.0 	 0.0000000
1812.5 	 0.0000000
1815.0 	 0.0000000
1817.5 	 0.0000000
1820.0 	 0.0000000
1822.5 	 0.0000000
1825.0 	 0.0000000
1827.5 	 0.0000000
1830.0 	 0.0000000
1832.5 	 0.0000000
1835.0 	 0.0000000
1837.5 	 0.0000000
1840.0 	 0.0000000
1842.5 	 0.0000000
1845.0 	 0.0000000
1847.5 	 0.0000000
1850.0 	 0.0000000
1852.5 	 0.0000000
1855.0 	 0.0000000
1857.5 	 0.0000000
1860.0 	 0.0000000
1862.5 	 0.0000000
1865.0 	 0.0000000
1867.5 	 0.0000000
1870.0 	 0.0000000
1872.5 	 0.0000000
1875.0 	 0.0000000
1877.5 	 0.0000000
1880.0 	 0.0000000
1882.5 	 0.0000000
1885.0 	 0.0000000
1887.5 	 0.0000000
1890.0 	 0.0000000
1892.5 	 0.0000000
1895.0 	 0.0000000
1897.5 	 0.0000000
1900.0 	 0.0000000
1902.5 	 0.0000000
1905.0 	 0.0000000
1907.5 	 0.0000000
1910.0 	 0.0000000
1912.5 	 0.0000000
1915.0 	 0.0000000
1917.5 	 0.0000000
1920.0 	 0.0000000
1922.5 	 0.0000000
1925.0 	 0.0000000
1927.5 	 0.0000000
1930.0 	 0.0000000
1932.5 	 0.0000000
1935.0 	 0.0000000
1937.5 	 0.0000000
1940.0 	 0.0000000
1942.5 	 0.0000000
1945.0 	 0.0000000
1947.5 	 0.0000000
1950.0 	 0.0000000
1952.5 	 0.0000000
1955.0 	 0.0000000
1957.5 	 0.0000000
1960.0 	 0.0000000
1962.5 	 0.0000000
1965.0 	 0.0000000
1967.5 	 0.0000000
1970.0 	 0.0000000
1972.5 	 0.0000000
1975.0 	 0.0000000
1977.5 	 0.0000000
1980.0 	 0.0000000
1982.5 	 0.0000000
1985.0 	 0.0000000
1987.5 	 0.0000000
1990.0 	 0.0000000
1992.5 	 0.0000000
1995.0 	 0.0000000
1997.5 	 0.0000000
2000.0 	 0.0000000
2002.5 	 0.0000000
2005.0 	 0.0000000
2007.5 	 0.0000000
2010.0 	 0.0000000
2012.5 	 0.0000000
2015.0 	 0.0000000
2017.5 	 0.0000000
2020.0 	 0.0000000
2022.5 	 0.0000000
2025.0 	 0.0000000
2027.5 	 0.0000000
2030.0 	 0.0000000
2032.5 	 0.0000000
2035.0 	 0.0000000
2037.5 	 0.0000000
2040.0 	 0.0000000
2042.5 	 0.0000000
2045.0 	 0.0000000
2047.5 	 0.0000000
2050.0 	 0.0000000
2052.5 	 0.0000000
2055.0 	 0.0000000
2057.5 	 0.0000000
2060.0 	 0.0000000
2062.5 	 0.0000000
2065.0 	 0.0000000
2067.5 	 0.0000000
2070.0 	 0.0000000
2072.5 	 0.0000000
2075.0 	 0.0000000
2077.5 	 0.0000000
2080.0 	 0.0000000
2082.5 	 0.0000000
2085.0 	 0.0000000
2087.5 	 0.0000000
2090.0 	 0.0000000
2092.5 	 0.0000000
2095.0 	 0.0000000
2097.5 	 0.0000000
2100.0 	 0.0000000
2102.5 	 0.0000000
2105.0 	 0.0000000
2107.5 	 0.0000000
2110.0 	 0.0000000
2112.5 	 0.0000000
2115.0 	 0.0000000
2117.5 	 0.0000000
2120.0 	 0.0000000
2122.5 	 0.0000000
2125.0 	 0.0000000
2127.5 	 0.0000000
2130.0 	 0.0000000
2132.5 	 0.0000000
2135.0 	 0.0000000
2137.5 	 0.0000000
2140.0 	 0.0000000
2142.5 	 0.0000000
2145.0 	 0.0000000
2147.5 	 0.0000000
2150.0 	 0.0000000
2152.5 	 0.0000000
2155.0 	 0.0000000
2157.5 	 0.0000000
2160.0 	 0.0000000
2162.5 	 0.0000000
2165.0 	 0.0000000
2167.5 	 0.0000000
2170.0 	 0.0000000
2172.5 	 0.0000000
2175.0 	 0.0000000
2177.5 	 0.0000000
2180.0 	 0.0000000
2182.5 	 0.0000000
2185.0 	 0.0000000
2187.5 	 0.0000000
2190.0 	 0.0000000
2192.5 	 0.0000000
2195.0 	 0.0000000
2197.5 	 0.0000000
2200.0 	 0.0000000
2202.5 	 0.0000000
2205.0 	 0.0000000
2207.5 	 0.0000000
2210.0 	 0.0000000
2212.5 	 0.0000000
2215.0 	 0.0000000
2217.5 	 0.0000000
2220.0 	 0.0000000
2222.5 	 0.0000000
2225.0 	 0.0000000
2227.5 	 0.0000000
2230.0 	 0.0000000
2232.5 	 0.0000000
2235.0 	 0.0000000
2237.5 	 0.0000000
2240.0 	 0.0000000
2242.5 	 0.0000000
2245.0 	 0.0000000
2247.5 	 0.0000000
2250.0 	 0.0000000
2252.5 	 0.0000000
2255.0 	 0.0000000
2257.5 	 0.0000000
2260.0 	 0.0000000
2262.5 	 0.0000000
2265.0 	 0.0000000
2267.5 	 0.0000000
2270.0 	 0.0000000
2272.5 	 0.0000000
2275.0 	 0.0000000
2277.5 	 0.0000000
2280.0 	 0.0000000
-1.0   	 -1.0    
